"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
10234,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10235,2,5,1,,,,,,,,,,2,2,2,2,,2,,,,,,,4,4,3
10236,2,,,,,1,2,1,2,1,1,1,,,,,,,,,,,,,4,4,3
10237,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10238,2,4,1,3,2,,,,,,,,,,,,,,,,,,,,4,4,3
10239,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10240,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10241,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10242,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10243,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10244,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10245,1,2,2,,,,,,,,,,,,,,,,,,,,,,2,2,1
10246,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10247,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
10248,2,,,,,,,,,,,,2,2,2,2,,2,,,,,,,4,4,4
10249,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10250,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10251,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10252,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10253,2,4,1,12,1,,,,,,,,,,,,,,2,,,,,,1,1,1
10254,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10255,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10256,1,,,,,,,,,,,,,,,,,,1,1,1,,,,2,2,2
10257,1,,,,,,,,,,,,2,2,2,2,,2,1,1,5,,,,2,2,1
10258,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10259,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10260,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10261,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10262,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10263,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,2
10264,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10265,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10266,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10267,2,,,,,2,,2,1,2,2,,,,,,,,,,,,,,3,3,
10268,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
10269,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10270,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10271,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10272,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
10273,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10274,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
10275,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10276,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10277,,,,,,,,,,,,,,,,,,,,,,,,,,,
10278,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
